title ,author ,avg rating ,rating  ,date read ,date added 
El Avaro ,Molière ,3.68,it was amazing ,not set ,"Mar 30, 2018 "
Estudio en escarlata ,"Doyle, Arthur Conan ",4.15,it was amazing ,"May 11, 2019 ","May 08, 2019 "
El principito ,"Saint-Exupéry, Antoine de ",4.31,it was amazing ,not set ,"Mar 30, 2018 "
Cuando Hitler robó el conejo rosa ,"Kerr, Judith ",3.99,it was amazing ,not set ,"Mar 30, 2018 "
The Metamorphosis ,"Kafka, Franz ",3.83,it was amazing ,not set ,"Mar 30, 2018 "
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","Rowling, J.K. ",4.57,it was amazing ,not set ,"Mar 30, 2018 "
"The Girl with the Dragon Tattoo (Millennium, #1)","Larsson, Stieg ",4.14,it was amazing ,not set ,"Mar 30, 2018 "
What I Talk About When I Talk About Running ,"Murakami, Haruki ",3.85,it was amazing ,not set ,"Mar 30, 2018 "
"Fantastic Beasts and Where to Find Them: The Original Screenplay (Fantastic Beasts: The Original Screenplay, #1)","Rowling, J.K. ",4.23,it was amazing ,"May 19, 2018 ","Apr 11, 2018 "
"El psicoanalista (El psicoanalista, #1)","Katzenbach, John ",4.13,it was amazing ,"Apr 17, 2018 ","Mar 30, 2018 "
"El nombre del viento (Crónica del asesino de reyes, #1)","Rothfuss, Patrick * ",4.52,it was amazing ,"Aug 28, 2019 ","Mar 30, 2018 "
Mira si yo te querré ,"Leante, Luis ",3.78,it was amazing ,not set ,"Mar 30, 2018 "
Silk ,"Baricco, Alessandro ",3.85,it was amazing ,not set ,"Mar 30, 2018 "
"El clan del oso cavernario (Los hijos de la tierra, #1)","Auel, Jean M. ",4.06,it was amazing ,not set ,"Mar 30, 2018 "
Basada en hechos reales ,"Vigan, Delphine de ",3.89,it was amazing ,"Jul 23, 2018 ","Jun 26, 2018 "
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","Rowling, J.K. ",4.5,it was amazing ,not set ,"Mar 30, 2018 "
Bibbi Bokken's Magic Library ,"Gaarder, Jostein ",3.73,it was amazing ,not set ,"Mar 30, 2018 "
"A Game of Thrones (A Song of Ice and Fire, #1)","Martin, George R.R. ",4.45,it was amazing ,not set ,"Mar 30, 2018 "
Los Románov: 1613-1918 ,"Montefiore, Simon Sebag * ",3.95,it was amazing ,"Apr 05, 2019 ","Feb 02, 2019 "
A la sombra del ángel ,"Blair, Kathryn S. ",4.44,it was amazing ,"May 06, 2018 ","Apr 22, 2018 "
Un mundo sin fin ,"Follett, Ken * ",4.26,it was amazing ,not set ,"Mar 30, 2018 "
Donde habitan los ángeles ,"Celis, Claudia ",4.36,it was amazing ,not set ,"Mar 30, 2018 "
Huesos de lagartija ,"Navarrete, Federico * ",4.12,it was amazing ,"Jan 24, 2019 ","Jan 20, 2019 "
