title ,author 
Isabel Moctezuma ,"Aguirre, Eugenio "
La música del silencio ,"Rothfuss, Patrick * "
21 Lessons for the 21st Century ,"Harari, Yuval Noah "
Homo Deus: A History of Tomorrow ,"Harari, Yuval Noah "
La bailarina de Auschwitz ,"Eger, Edith * "
Talentos ocultos ,"Shetterly, Margot Lee * "
"Interview with the Vampire (The Vampire Chronicles, #1)","Rice, Anne "
Dracul ,"Stoker, Dacre "
La ley de Herodes ,"Ibargüengoitia, Jorge "
La maldición de Hill House ,"Jackson, Shirley "
Pequeño cerdo capitalista ,"Macías, Sofía "
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything ,"Levitt, Steven D. "
Los Medici. La decadencia de una familia (Los Médici 4),"Strukul, Matteo * "
De animales a dioses ,"Harari, Yuval Noah "
The Story of the Lost Child ,"Ferrante, Elena "
Those Who Leave and Those Who Stay ,"Ferrante, Elena "
The Story of a New Name ,"Ferrante, Elena "
"El laberinto de los espíritus (El cementerio de los libros olvidados, #4)","Ruiz Zafón, Carlos "
La reina descalza ,"Falcones, Ildefonso "
Los hijos del rey vikingo. Venganza ,"Holm, Lasse "
Marina ,"Ruiz Zafón, Carlos "
La desaparición de Stephanie Mailer ,"Dicker, Joël "
"The Angel's Game (The Cemetery of Forgotten Books, #2)","Ruiz Zafón, Carlos "
La ley del amor ,"Esquivel, Laura "
Malinche ,"Esquivel, Laura "
La octava plaga ,"Esquinca, Bernardo "
Mujeres de ojos grandes ,"Mastretta, Ángeles "
Los hijos del rey vikingo. Venganza ,"Holm, Lasse "
"Yo, Julia (Julia Domna #1)","Posteguillo, Santiago "
El murmullo de las abejas ,"Segovia, Sofía * "
Estambul: La ciudad de los tres nombres ,"Hughes, Bettany "
Contigo en la distancia ,"Guelfenbein, Carla "
El Conde de Monte-Cristo ,"Dumas, Alexandre "
"Crimen y castigo (Crimen y castigo, #1)","Dostoyevsky, Fyodor "
"Comer, Rezar, Amar ","Gilbert, Elizabeth * "
La clave secreta del universo ,"Hawking, Lucy "
"Fall of Giants (The Century Trilogy, #1)","Follett, Ken * "
"A Dance with Dragons (A Song of Ice and Fire, #5)","Martin, George R.R. "
"Insurgent (Divergent, #2)","Roth, Veronica * "
The Casual Vacancy ,"Rowling, J.K. "
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban ,"Yousafzai, Malala "
Doctor Sleep ,"King, Stephen * "
Ensayo sobre la lucidez ,"Saramago, José "
"The Handmaid's Tale (The Handmaid's Tale, #1)","Atwood, Margaret * "
"Divergente (Divergente, #1)","Roth, Veronica * "
El conde de Montecristo / Los tres mosqueteros ,"Dumas, Alexandre "
Ensayo sobre la ceguera ,"Saramago, José "
Las intermitencias de la muerte ,"Saramago, José "
La elegancia del erizo ,"Barbery, Muriel "
La séptima función del lenguaje ,"Binet, Laurent "
Misery ,"King, Stephen * "
Las horas más oscuras ,"McCarten, Anthony * "
El coronel no tiene quien le escriba ,"Garcí­a Márquez, Gabriel "
La Reina Roja De Palenque/ the Red Queen of Palenque ,"Malvido, Adriana "
Los hornos de Hitler ,"Lengyel, Olga "
La reina del sur ,"Pérez-Reverte, Arturo "
El libro de los Baltimore ,"Dicker, Joël "
Orgullo y prejuicio ,"Austen, Jane "
Estoy mucho mejor ,"Foenkinos, David "
Memoirs of a Geisha ,"Golden, Arthur "
"A Column of Fire (Kingsbridge, #3)","Follett, Ken * "
"La catedral del mar (La catedral del mar, #1)","Falcones, Ildefonso "
The Big Short: Inside the Doomsday Machine ,"Lewis, Michael "
The Name of the Rose ,"Eco, Umberto "
La casa de los espíritus ,"Allende, Isabel * "
El curioso incidente del perro a medianoche ,"Haddon, Mark "
La verdad sobre el caso Harry Quebert ,"Dicker, Joël "
Delirio ,"Restrepo, Laura "
Catherine the Great: Portrait of a Woman ,"Massie, Robert K. "
